4.79E+15,俄罗斯被乌克兰打跑了，但是乌克兰军人却不登陆，真是有意思,07月02日 13:38?来自北京
4.79E+15,哈哈，这个金博士，早早就拉黑我了，在微博循循教导十余年，眼看着要“唤醒”，慢慢发现“十年启蒙”失败了。痛心疾首啊，是不是啊@克里斯托夫-金 ？,07月02日 13:45?来自广东
4.79E+15,泽连司机：弟部放弃蛇岛，我们是要亡国灭种的,07月02日 15:29?来自广西
4.79E+15,回复@挖路虎宝宝:总坐糕见,07月02日 23:38?来自来自湖北    
4.79E+15,乌克兰丧尸军团赶走了俄军,07月02日 21:38?来自来自四川    
4.79E+15,回复@装收谣棍:他很敏感的，你可能说过他，哈哈,07月02日 20:54?来自来自广东    
4.79E+15,回复@缔造手游:我想点开看他咋了，发现我原来把他拉黑了,07月02日 20:47?来自来自福建    
4.79E+15,回复@挖路虎宝宝:转身，“娘稀匹”,07月02日 20:18?来自来自浙江    
4.79E+15,知道美国为什么让你读文科了吧？,07月02日 19:48?来自来自江苏    
4.79E+15,回复@缔造手游:坚定守住，就有办法，斯坦纳发起进攻以后，一切都会好起来,07月02日 19:41?来自来自广西    
